Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-12-19,134.4,137.4,132.7,134.9,134.65,264534.0,357.74
2017-12-18,130.9,138.4,123.8,132.8,133.3,496935.0,666.52
2017-12-15,128.4,131.95,128.4,131.65,131.15,266243.0,348.02
2017-12-14,129.55,131.4,125.0,126.45,126.45,224274.0,285.62
2017-12-13,130.0,133.4,127.25,128.0,128.2,293836.0,383.17
2017-12-12,137.0,137.95,130.5,130.8,130.85,281922.0,375.13
2017-12-11,137.7,139.9,135.1,137.0,137.2,393845.0,541.81
2017-12-08,139.7,142.0,135.0,136.0,136.5,456204.0,635.76
2017-12-07,128.45,139.95,127.55,138.5,137.8,378482.0,509.18
2017-12-06,128.0,130.5,126.1,127.9,127.2,205556.0,263.83
2017-12-05,133.0,133.65,127.0,128.5,128.6,259396.0,335.82
2017-12-04,132.65,136.35,129.15,134.2,133.9,306990.0,409.83
2017-12-01,137.0,141.8,129.4,131.7,131.05,480730.0,654.84
2017-11-30,134.4,139.35,132.7,135.9,135.4,495844.0,677.08
2017-11-29,142.0,148.0,133.75,134.0,135.6,1226034.0,1750.15
2017-11-28,133.8,146.15,132.0,141.0,140.95,1298139.0,1807.76
2017-11-27,129.5,132.9,128.5,132.7,132.15,288453.0,379.73
2017-11-24,131.9,135.0,128.0,128.15,129.45,588618.0,778.74
2017-11-23,128.9,134.75,128.25,130.95,130.8,734827.0,970.23
2017-11-22,124.35,132.0,124.35,128.0,128.1,806346.0,1038.14
2017-11-21,118.15,127.95,118.15,123.85,123.85,1021590.0,1279.97
2017-11-20,121.65,121.65,116.0,117.75,117.8,191229.0,226.22
2017-11-17,121.1,124.5,119.45,119.5,119.95,643472.0,782.48
2017-11-16,109.0,120.8,109.0,119.2,118.5,372148.0,431.25
2017-11-15,114.5,114.6,106.95,108.25,108.25,181947.0,200.41
2017-11-14,112.55,116.85,104.7,114.5,115.05,431971.0,496.08
2017-11-13,108.0,114.65,107.8,114.1,113.65,202748.0,227.85
2017-11-10,110.25,111.65,106.0,107.1,107.35,196379.0,214.47
2017-11-09,112.7,114.05,110.6,111.0,111.05,164423.0,184.08
2017-11-08,113.65,114.4,111.4,112.0,112.0,207549.0,234.9
